Time,Var1,Var2
0.0000,-1.0000,1.0000
0.1000,-1.1159,0.9947
0.2000,-1.2285,0.9889
0.3000,-1.3349,0.9826
0.4000,-1.4327,0.9757
0.5000,-1.5201,0.9685
0.6000,-1.5961,0.9609
0.7000,-1.6605,0.9529
0.8000,-1.7138,0.9448
0.9000,-1.7570,0.9364
1.0000,-1.7913,0.9278
1.1000,-1.8181,0.9192
1.2000,-1.8385,0.9105
1.3000,-1.8539,0.9017
1.4000,-1.8652,0.8929
1.5000,-1.8732,0.8841
1.6000,-1.8787,0.8754
1.7000,-1.8821,0.8666
1.8000,-1.8841,0.8579
1.9000,-1.8848,0.8492
2.0000,-1.8846,0.8405
2.1000,-1.8836,0.8319
2.2000,-1.8822,0.8234
2.3000,-1.8803,0.8149
2.4000,-1.8781,0.8064
2.5000,-1.8756,0.7980
2.6000,-1.8729,0.7897
2.7000,-1.8701,0.7814
2.8000,-1.8672,0.7732
2.9000,-1.8642,0.7650
3.0000,-1.8611,0.7569
3.1000,-1.8580,0.7488
3.2000,-1.8549,0.7408
3.3000,-1.8517,0.7329
3.4000,-1.8485,0.7250
3.5000,-1.8453,0.7171
3.6000,-1.8421,0.7093
3.7000,-1.8389,0.7016
3.8000,-1.8357,0.6939
3.9000,-1.8324,0.6863
4.0000,-1.8292,0.6788
4.1000,-1.8260,0.6712
4.2000,-1.8228,0.6638
4.3000,-1.8196,0.6564
4.4000,-1.8163,0.6490
4.5000,-1.8131,0.6417
4.6000,-1.8099,0.6345
4.7000,-1.8067,0.6273
4.8000,-1.8036,0.6201
4.9000,-1.8004,0.6130
5.0000,-1.7972,0.6060
5.1000,-1.7940,0.5990
5.2000,-1.7909,0.5921
5.3000,-1.7877,0.5852
5.4000,-1.7846,0.5783
5.5000,-1.7814,0.5716
5.6000,-1.7783,0.5648
5.7000,-1.7751,0.5581
5.8000,-1.7720,0.5515
5.9000,-1.7689,0.5449
6.0000,-1.7658,0.5383
6.1000,-1.7627,0.5318
6.2000,-1.7596,0.5254
6.3000,-1.7565,0.5190
6.4000,-1.7534,0.5126
6.5000,-1.7503,0.5063
6.6000,-1.7472,0.5001
6.7000,-1.7442,0.4939
6.8000,-1.7411,0.4877
6.9000,-1.7381,0.4816
7.0000,-1.7350,0.4755
7.1000,-1.7320,0.4695
7.2000,-1.7289,0.4635
7.3000,-1.7259,0.4575
7.4000,-1.7229,0.4516
7.5000,-1.7199,0.4458
7.6000,-1.7169,0.4400
7.7000,-1.7139,0.4342
7.8000,-1.7109,0.4285
7.9000,-1.7079,0.4228
8.0000,-1.7049,0.4172
8.1000,-1.7019,0.4116
8.2000,-1.6990,0.4061
8.3000,-1.6960,0.4006
8.4000,-1.6930,0.3951
8.5000,-1.6901,0.3897
8.6000,-1.6872,0.3843
8.7000,-1.6842,0.3790
8.8000,-1.6813,0.3737
8.9000,-1.6784,0.3684
9.0000,-1.6755,0.3632
9.1000,-1.6726,0.3580
9.2000,-1.6697,0.3529
9.3000,-1.6668,0.3478
9.4000,-1.6639,0.3428
9.5000,-1.6610,0.3377
9.6000,-1.6581,0.3328
9.7000,-1.6553,0.3278
9.8000,-1.6524,0.3229
9.9000,-1.6495,0.3181
10.0000,-1.6467,0.3133
10.1000,-1.6439,0.3085
10.2000,-1.6410,0.3037
10.3000,-1.6382,0.2990
10.4000,-1.6354,0.2944
10.5000,-1.6326,0.2897
10.6000,-1.6298,0.2851
10.7000,-1.6270,0.2806
10.8000,-1.6242,0.2761
10.9000,-1.6214,0.2716
11.0000,-1.6186,0.2671
11.1000,-1.6158,0.2627
11.2000,-1.6131,0.2583
11.3000,-1.6103,0.2540
11.4000,-1.6075,0.2497
11.5000,-1.6048,0.2454
11.6000,-1.6021,0.2412
11.7000,-1.5993,0.2370
11.8000,-1.5966,0.2328
11.9000,-1.5939,0.2287
12.0000,-1.5912,0.2246
12.1000,-1.5885,0.2206
12.2000,-1.5858,0.2165
12.3000,-1.5831,0.2125
12.4000,-1.5804,0.2086
12.5000,-1.5777,0.2046
12.6000,-1.5751,0.2007
12.7000,-1.5724,0.1969
12.8000,-1.5697,0.1931
12.9000,-1.5671,0.1893
13.0000,-1.5644,0.1855
13.1000,-1.5618,0.1818
13.2000,-1.5592,0.1781
13.3000,-1.5566,0.1744
13.4000,-1.5539,0.1707
13.5000,-1.5513,0.1671
13.6000,-1.5487,0.1636
13.7000,-1.5461,0.1600
13.8000,-1.5436,0.1565
13.9000,-1.5410,0.1530
14.0000,-1.5384,0.1496
14.1000,-1.5358,0.1461
14.2000,-1.5333,0.1427
14.3000,-1.5307,0.1394
14.4000,-1.5282,0.1360
14.5000,-1.5257,0.1327
14.6000,-1.5231,0.1295
14.7000,-1.5206,0.1262
14.8000,-1.5181,0.1230
14.9000,-1.5156,0.1198
15.0000,-1.5131,0.1166
15.1000,-1.5106,0.1135
15.2000,-1.5081,0.1104
15.3000,-1.5056,0.1073
15.4000,-1.5031,0.1043
15.5000,-1.5007,0.1012
15.6000,-1.4982,0.0982
15.7000,-1.4958,0.0953
15.8000,-1.4933,0.0923
15.9000,-1.4909,0.0894
16.0000,-1.4885,0.0865
16.1000,-1.4860,0.0837
16.2000,-1.4836,0.0808
16.3000,-1.4812,0.0780
16.4000,-1.4788,0.0752
16.5000,-1.4764,0.0725
16.6000,-1.4740,0.0697
16.7000,-1.4717,0.0670
16.8000,-1.4693,0.0644
16.9000,-1.4669,0.0617
17.0000,-1.4646,0.0591
17.1000,-1.4622,0.0565
17.2000,-1.4599,0.0539
17.3000,-1.4576,0.0513
17.4000,-1.4552,0.0488
17.5000,-1.4529,0.0463
17.6000,-1.4506,0.0438
17.7000,-1.4483,0.0413
17.8000,-1.4460,0.0389
17.9000,-1.4437,0.0365
18.0000,-1.4414,0.0341
18.1000,-1.4392,0.0317
18.2000,-1.4369,0.0294
18.3000,-1.4346,0.0271
18.4000,-1.4324,0.0248
18.5000,-1.4301,0.0225
18.6000,-1.4279,0.0203
18.7000,-1.4257,0.0180
18.8000,-1.4235,0.0158
18.9000,-1.4213,0.0136
19.0000,-1.4191,0.0115
19.1000,-1.4169,0.0093
19.2000,-1.4147,0.0072
19.3000,-1.4125,0.0051
19.4000,-1.4103,0.0030
19.5000,-1.4081,0.0010
19.6000,-1.4060,-0.0011
19.7000,-1.4038,-0.0031
19.8000,-1.4017,-0.0051
19.9000,-1.3996,-0.0070
20.0000,-1.3974,-0.0090
20.1000,-1.3953,-0.0109
20.2000,-1.3932,-0.0128
20.3000,-1.3911,-0.0147
20.4000,-1.3890,-0.0166
20.5000,-1.3869,-0.0185
20.6000,-1.3849,-0.0203
20.7000,-1.3828,-0.0221
20.8000,-1.3807,-0.0239
20.9000,-1.3787,-0.0257
21.0000,-1.3766,-0.0274
21.1000,-1.3746,-0.0292
21.2000,-1.3726,-0.0309
21.3000,-1.3705,-0.0326
21.4000,-1.3685,-0.0343
21.5000,-1.3665,-0.0359
21.6000,-1.3645,-0.0376
21.7000,-1.3625,-0.0392
21.8000,-1.3606,-0.0408
21.9000,-1.3586,-0.0424
22.0000,-1.3566,-0.0440
22.1000,-1.3547,-0.0455
22.2000,-1.3527,-0.0471
22.3000,-1.3508,-0.0486
22.4000,-1.3489,-0.0501
22.5000,-1.3469,-0.0516
22.6000,-1.3450,-0.0530
22.7000,-1.3431,-0.0545
22.8000,-1.3412,-0.0559
22.9000,-1.3393,-0.0573
23.0000,-1.3375,-0.0587
23.1000,-1.3356,-0.0601
23.2000,-1.3337,-0.0615
23.3000,-1.3319,-0.0628
23.4000,-1.3300,-0.0642
23.5000,-1.3282,-0.0655
23.6000,-1.3264,-0.0668
23.7000,-1.3245,-0.0681
23.8000,-1.3227,-0.0694
23.9000,-1.3209,-0.0706
24.0000,-1.3191,-0.0719
24.1000,-1.3173,-0.0731
24.2000,-1.3156,-0.0743
24.3000,-1.3138,-0.0755
24.4000,-1.3120,-0.0767
24.5000,-1.3103,-0.0779
24.6000,-1.3086,-0.0790
24.7000,-1.3068,-0.0802
24.8000,-1.3051,-0.0813
24.9000,-1.3034,-0.0824
25.0000,-1.3017,-0.0835
25.1000,-1.3000,-0.0846
25.2000,-1.2983,-0.0857
25.3000,-1.2966,-0.0867
25.4000,-1.2950,-0.0878
25.5000,-1.2933,-0.0888
25.6000,-1.2916,-0.0898
25.7000,-1.2900,-0.0908
25.8000,-1.2884,-0.0918
25.9000,-1.2868,-0.0928
26.0000,-1.2851,-0.0937
26.1000,-1.2835,-0.0947
26.2000,-1.2819,-0.0956
26.3000,-1.2804,-0.0965
26.4000,-1.2788,-0.0975
26.5000,-1.2772,-0.0984
26.6000,-1.2756,-0.0992
26.7000,-1.2741,-0.1001
26.8000,-1.2726,-0.1010
26.9000,-1.2710,-0.1018
27.0000,-1.2695,-0.1027
27.1000,-1.2680,-0.1035
27.2000,-1.2665,-0.1043
27.3000,-1.2650,-0.1051
27.4000,-1.2635,-0.1059
27.5000,-1.2620,-0.1067
27.6000,-1.2606,-0.1075
27.7000,-1.2591,-0.1082
27.8000,-1.2577,-0.1090
27.9000,-1.2562,-0.1097
28.0000,-1.2548,-0.1104
28.1000,-1.2534,-0.1112
28.2000,-1.2520,-0.1119
28.3000,-1.2506,-0.1126
28.4000,-1.2492,-0.1133
28.5000,-1.2478,-0.1139
28.6000,-1.2464,-0.1146
28.7000,-1.2451,-0.1152
28.8000,-1.2437,-0.1159
28.9000,-1.2424,-0.1165
29.0000,-1.2411,-0.1171
29.1000,-1.2397,-0.1178
29.2000,-1.2384,-0.1184
29.3000,-1.2371,-0.1190
29.4000,-1.2358,-0.1195
29.5000,-1.2346,-0.1201
29.6000,-1.2333,-0.1207
29.7000,-1.2320,-0.1213
29.8000,-1.2308,-0.1218
29.9000,-1.2295,-0.1223
30.0000,-1.2283,-0.1229
30.1000,-1.2271,-0.1234
30.2000,-1.2259,-0.1239
30.3000,-1.2246,-0.1244
30.4000,-1.2235,-0.1249
30.5000,-1.2223,-0.1254
30.6000,-1.2211,-0.1259
30.7000,-1.2199,-0.1264
30.8000,-1.2188,-0.1268
30.9000,-1.2176,-0.1273
31.0000,-1.2165,-0.1277
31.1000,-1.2154,-0.1282
31.2000,-1.2143,-0.1286
31.3000,-1.2131,-0.1290
31.4000,-1.2121,-0.1294
31.5000,-1.2110,-0.1298
31.6000,-1.2099,-0.1302
31.7000,-1.2088,-0.1306
31.8000,-1.2078,-0.1310
31.9000,-1.2067,-0.1314
32.0000,-1.2057,-0.1318
32.1000,-1.2047,-0.1321
32.2000,-1.2036,-0.1325
32.3000,-1.2026,-0.1329
32.4000,-1.2016,-0.1332
32.5000,-1.2006,-0.1335
32.6000,-1.1997,-0.1339
32.7000,-1.1987,-0.1342
32.8000,-1.1977,-0.1345
32.9000,-1.1968,-0.1348
33.0000,-1.1959,-0.1351
33.1000,-1.1949,-0.1354
33.2000,-1.1940,-0.1357
33.3000,-1.1931,-0.1360
33.4000,-1.1922,-0.1363
33.5000,-1.1913,-0.1366
33.6000,-1.1904,-0.1369
33.7000,-1.1896,-0.1371
33.8000,-1.1887,-0.1374
33.9000,-1.1878,-0.1376
34.0000,-1.1870,-0.1379
34.1000,-1.1862,-0.1381
34.2000,-1.1854,-0.1384
34.3000,-1.1845,-0.1386
34.4000,-1.1837,-0.1388
34.5000,-1.1829,-0.1390
34.6000,-1.1822,-0.1393
34.7000,-1.1814,-0.1395
34.8000,-1.1806,-0.1397
34.9000,-1.1799,-0.1399
35.0000,-1.1791,-0.1401
35.1000,-1.1784,-0.1403
35.2000,-1.1777,-0.1405
35.3000,-1.1769,-0.1406
35.4000,-1.1762,-0.1408
35.5000,-1.1755,-0.1410
35.6000,-1.1748,-0.1412
35.7000,-1.1742,-0.1413
35.8000,-1.1735,-0.1415
35.9000,-1.1728,-0.1417
36.0000,-1.1722,-0.1418
36.1000,-1.1715,-0.1420
36.2000,-1.1709,-0.1421
36.3000,-1.1703,-0.1422
36.4000,-1.1697,-0.1424
36.5000,-1.1690,-0.1425
36.6000,-1.1684,-0.1426
36.7000,-1.1679,-0.1428
36.8000,-1.1673,-0.1429
36.9000,-1.1667,-0.1430
37.0000,-1.1661,-0.1431
37.1000,-1.1656,-0.1432
37.2000,-1.1650,-0.1434
37.3000,-1.1645,-0.1435
37.4000,-1.1640,-0.1436
37.5000,-1.1634,-0.1437
37.6000,-1.1629,-0.1438
37.7000,-1.1624,-0.1439
37.8000,-1.1619,-0.1440
37.9000,-1.1614,-0.1440
38.0000,-1.1610,-0.1441
38.1000,-1.1605,-0.1442
38.2000,-1.1600,-0.1443
38.3000,-1.1596,-0.1444
38.4000,-1.1591,-0.1444
38.5000,-1.1587,-0.1445
38.6000,-1.1583,-0.1446
38.7000,-1.1578,-0.1446
38.8000,-1.1574,-0.1447
38.9000,-1.1570,-0.1448
39.0000,-1.1566,-0.1448
39.1000,-1.1562,-0.1449
39.2000,-1.1558,-0.1450
39.3000,-1.1554,-0.1450
39.4000,-1.1551,-0.1451
39.5000,-1.1547,-0.1451
39.6000,-1.1544,-0.1452
39.7000,-1.1540,-0.1452
39.8000,-1.1537,-0.1452
39.9000,-1.1533,-0.1453
40.0000,-1.1530,-0.1453
40.1000,-1.1527,-0.1454
40.2000,-1.1524,-0.1454
40.3000,-1.1520,-0.1454
40.4000,-1.1517,-0.1455
40.5000,-1.1515,-0.1455
40.6000,-1.1512,-0.1455
40.7000,-1.1509,-0.1455
40.8000,-1.1506,-0.1456
40.9000,-1.1503,-0.1456
41.0000,-1.1501,-0.1456
41.1000,-1.1498,-0.1456
41.2000,-1.1496,-0.1457
41.3000,-1.1493,-0.1457
41.4000,-1.1491,-0.1457
41.5000,-1.1488,-0.1457
41.6000,-1.1486,-0.1457
41.7000,-1.1484,-0.1457
41.8000,-1.1482,-0.1458
41.9000,-1.1480,-0.1458
42.0000,-1.1478,-0.1458
42.1000,-1.1476,-0.1458
42.2000,-1.1474,-0.1458
42.3000,-1.1472,-0.1458
42.4000,-1.1470,-0.1458
42.5000,-1.1468,-0.1458
42.6000,-1.1466,-0.1458
42.7000,-1.1465,-0.1458
42.8000,-1.1463,-0.1458
42.9000,-1.1462,-0.1458
43.0000,-1.1460,-0.1458
43.1000,-1.1459,-0.1458
43.2000,-1.1457,-0.1458
43.3000,-1.1456,-0.1458
43.4000,-1.1454,-0.1458
43.5000,-1.1453,-0.1458
43.6000,-1.1452,-0.1458
43.7000,-1.1451,-0.1458
43.8000,-1.1449,-0.1458
43.9000,-1.1448,-0.1458
44.0000,-1.1447,-0.1458
44.1000,-1.1446,-0.1458
44.2000,-1.1445,-0.1458
44.3000,-1.1444,-0.1458
44.4000,-1.1443,-0.1458
44.5000,-1.1442,-0.1458
44.6000,-1.1441,-0.1458
44.7000,-1.1440,-0.1458
44.8000,-1.1440,-0.1457
44.9000,-1.1439,-0.1457
