iteration,error,currentInitImpulse
0,160798.90174865723,15.211416900095793 -0.53163528963292 -0.4027589031658455
1,170971.43127441406,18.689527349314545 0.2679786630037988 -0.402713126798658
2,274775.8880004883,24.297528240427827 1.4730415292147363 -0.40294963802912676
3,329489.68214416504,31.099346270212983 2.580295557535049 -0.403292960783033
4,229914.71449279785,35.53003240302549 4.727550501382705 -0.403353995939283
5,185780.2693786621,39.23890151923643 5.90311812833583 -0.40342266049006426
6,354694.8167877197,46.59818414863096 6.93510055021083 -0.40389568295100176
7,349857.5333709717,53.627548870310655 8.95322799161708 -0.40415508236506426
8,342147.48374938965,60.69110090888488 10.103717798745986 -0.404544181486158
9,169687.05393981934,64.13208672431458 10.944530481851455 -0.40471965756037676
10,198916.63302612305,68.25559054511535 11.540210718667861 -0.4046204754314705
11,233284.3390045166,73.13789105781066 12.036495203531143 -0.40467388119318926
12,194618.65997314453,77.00110282538878 13.363376612222549 -0.4048035809002205
13,330235.71952819824,83.76273683417784 14.71683883146083 -0.40734416927912676
14,336014.8405151367,90.61075847724425 16.235378260171768 -0.4080384441814705
15,222145.56398010254,95.1606233820294 17.14042281583583 -0.408145255704908
16,254823.63258361816,100.10804077704893 19.359935755288955 -0.408114738126783
17,177935.92921447754,103.63008890937314 20.616527552163955 -0.40806133236506426
18,225635.8212738037,108.12995839179501 22.06406020597255 -0.4088929363689705
19,92085.38934326172,109.9820541315411 22.5874366708163 -0.40957195248225176
20,271041.27951049805,115.5343451837872 23.687442774331924 -0.409549064298658
21,202534.48532104492,119.70941608222469 24.39536666349208 -0.4095032879314705
22,275761.58238220215,125.36103422187313 25.50572585538661 -0.40993816341975176
23,207135.29336547852,129.58531471503719 26.428546900308486 -0.4099610516033455
24,254803.88520812988,134.77765856269343 27.57993697599208 -0.409976310392408
25,184657.00791931152,138.51764797919733 28.515689844644424 -0.4101136394939705
26,141757.08322143555,141.3434680841778 29.43180465177333 -0.4101746746502205
27,274212.0486602783,147.00793412421686 30.339015955484268 -0.41056377377131426
28,101828.9846496582,149.03801600898248 30.996662134683486 -0.41131145443537676
29,158693.5583190918,152.22930700019342 31.900539392984268 -0.5289262005291268
30,137337.81219482422,155.03608413642388 32.48725509122646 -0.5291016766033455
31,270953.0234527588,160.64625940497857 33.32873916105068 -0.5297501751385018
32,347784.5581817627,167.98646091865044 33.800945276773334 -0.5299180218181893
33,208869.11080932617,172.33519209540825 34.34473800138271 -0.5322220989666268
34,223979.1187133789,176.7692122736309 35.9259376473788 -0.5322678753338143
35,319628.1728363037,183.52269045966605 36.329936975992084 -0.5323136517010018
36,225434.4848022461,188.06388074286917 37.579936975992084 -0.533664054533033
37,341456.4768218994,194.8825597345684 39.73286055997646 -0.5414002605877205
38,261885.47148132324,200.24790010322073 40.79364394620693 -0.5798142620525643
39,223831.70712280273,204.9006245050762 41.41041945890224 -0.5805237957439705
40,299899.65968322754,211.29438436835744 41.5400733895663 -0.5804627605877205
41,304454.0041656494,217.56164124091603 42.64546584562099 -0.5811646648845955
42,281171.1124420166,223.20221964667775 44.30597304776943 -0.5812180706463143
43,197887.06300354004,227.21338063300587 45.29562758878505 -0.5812791058025643
44,210635.50160217285,231.49493499091602 46.29611587003505 -0.5813248821697518
45,235788.15562438965,236.26298532050586 47.52473067716396 -0.582003898283033
46,209882.08520507812,240.39145587714648 49.121379847085834 -0.5823624798260018
47,350363.20611572266,247.6635040094707 50.13217544034755 -0.582797355314283
48,201629.6222076416,251.69872047675585 51.36598586515224 -0.5829575725994393
49,193862.25762939453,255.5976301813457 52.469654078042865 -0.5830186077556893
50,199197.1364440918,259.6009939264629 53.61520766691005 -0.582980460783033
51,187320.01628112793,263.5399960993144 53.934673304117084 -0.5830796429119393
52,340109.5088043213,270.48180588935344 55.42810439542568 -0.583224601408033
53,240530.552444458,275.45803950751747 56.192485804117084 -0.5832474895916268
54,17102.270462036133,274.6888202448221 57.943889612710834 -0.5892136761150643
55,140829.01316833496,277.45503951972444 59.03253554776943 -0.5897324749431893
56,187055.87283325195,281.2124773615213 60.11880111173427 -0.5897324749431893
57,207322.04119873047,285.51816349433375 60.706600183999896 -0.591128654142408
58,382592.4644165039,293.5505113092751 61.413677210367084 -0.591067618986158
59,229033.08786010742,298.18855675605244 62.57991408780849 -0.591220206876783
60,180735.03358459473,301.8940002741188 63.30038070157802 -0.46297771420100176
61,348098.7064971924,308.88247144111097 65.3336753793124 -0.46293193783381426
62,185074.04838562012,312.56523276923593 66.55878066495693 -0.46377117123225176
63,172960.50860595703,316.04073396552496 67.55675887540615 -0.4656556316814705
64,347285.6622772217,322.9410627374976 69.90015029386318 -0.46581584896662676
65,251934.85047912598,328.16805929511474 70.63673781827724 -0.46578533138850176
66,197065.04350280762,331.98673828681393 72.38805007413661 -0.4658997723064705
67,195722.62350463867,335.9002659113256 73.60124587491786 -0.46715862240412676
68,244716.73440551758,340.92154347480215 74.5598487801913 -0.46758586849787676
69,315178.20248413086,347.51451445868884 75.24858474210536 -0.468325919767408
70,200269.82794189453,351.68046060126693 75.78832625821865 -0.46831829037287676
71,206510.07147216797,355.98047046454815 76.32713698819911 -0.46825725521662676
72,157437.93449401855,359.2032174494114 76.97628402189052 -0.468539542814283
73,290760.82652282715,365.18309028876683 78.05927657560146 -0.4684937664470955
74,247837.89485168457,370.24792406562227 79.11994552091396 -0.4691956707439705
75,137797.14527893066,372.88528286689177 80.48718642667568 -0.46934062924006426
76,233635.09448242188,377.6452307794894 81.55104445890224 -0.4764283367595955
77,232949.8597869873,382.42017808173546 82.48786544278896 -0.47646648373225176
78,190203.380569458,386.2186773248995 83.68652724698818 -0.476535148283033
79,174642.0719909668,389.8359174127901 84.22549056485927 -0.4766724773845955
80,259310.4373474121,395.1456242365205 85.28990554288661 -0.478793449064283
81,232913.95542907715,399.9274837702119 86.19164657071865 -0.47878581966975176
82,171778.40328979492,403.398735393747 87.09836196378505 -0.4788392254314705
83,286668.9685974121,409.33464003241886 87.99000167325771 -0.4789918133220955
84,241416.0692138672,414.3237215509735 88.78183364347255 -0.48205120052912676
85,324261.6289215088,420.8596780695282 90.56782149747646 -0.48247844662287676
86,303213.12715148926,427.09769147284845 91.68493270353115 -0.4825318523845955
87,313840.96279907227,433.5127983820281 93.02647017911708 -1.0918305584392831
88,260199.69689941406,438.88088533271167 93.92264937833583 -1.0918687054119394
89,294289.05139160156,444.88447795966476 95.22948836759365 -1.0929215618572519
90,166014.06132507324,448.31753683417645 95.7654151864413 -1.0945084759197519
91,263162.879196167,453.6430670221647 97.12118911222255 -1.0945237347088144
92,248892.36752319336,458.6986616022428 98.32299422696865 -1.0945771404705331
93,137651.57278442383,461.3099965387662 99.79024886564052 -1.0952180096111581
94,121805.26306152344,463.7765026789029 100.40890120939052 -1.0952332684002206
95,236615.39503479004,468.40462228339504 102.32536696866786 -1.0953400799236581
96,157461.27867126465,471.61502490790673 103.03364943937099 -1.0953629681072519
97,202958.7346343994,475.84984922431295 103.52389144376552 -1.0953095623455331
98,311594.6079406738,482.1832682062465 105.00936507657802 -1.1028931805095956
99,227382.3215789795,486.801210198434 106.11010360196865 -1.1028626629314706
100,259029.0390777588,492.17381375068004 106.87650680021083 -1.1043809124431894
101,230030.9550933838,496.9369431207972 107.59422683194911 -1.1078599163494394
102,201613.7716217041,500.9407341120081 108.96366500333583 -1.1078904339275644
103,174145.7833557129,504.52808223212526 109.58684157804286 -1.1079133221111581
104,191290.70220947266,508.3665747614221 110.71506118253505 -1.1069901653728769
105,159660.38258361816,511.62311233466426 111.42713546232021 -1.1072800823650644
106,93310.50674438477,513.4865758722619 112.01551436857021 -1.1073182293377206
107,306596.31927490234,519.8150662653284 113.05797957853115 -1.1034272381267831
108,281320.2078399658,525.5743504206018 114.21992873624599 -1.1036561199627206
109,195143.04751586914,529.5746166315394 115.00482558683193 -1.1168854900799081
110,282175.2291870117,535.2970508112269 116.40806960538661 -1.1172593304119394
111,221530.36889648438,539.9384074152308 116.85912703946865 -1.1171830364666269
112,235016.86303710938,544.7357927667933 117.89220046476161 -1.1171982952556894
113,404801.5444946289,553.1695993219691 118.9279136605624 -1.1172593304119394
114,279044.0344238281,558.9373673639614 119.84062575773036 -1.1172593304119394
115,274100.21478271484,564.6213646540004 120.65800094083583 -1.1175187298260019
116,249910.79948425293,569.6811935480434 121.93806838468349 -1.1182587810955331
117,222271.69917297363,574.2239173395474 122.88901900724208 -1.1186021038494394
118,146897.37924194336,577.2128920465786 123.5786476083163 -1.1225312420330331
119,233756.9170074463,581.8558126764615 125.1644630380038 -1.1238053509197519
120,165569.06341552734,585.1362836603482 126.32168197110927 -1.1241105267010019
121,317983.5414733887,591.7107075861295 127.35598372892177 -1.1242860027752206
122,112669.72296142578,593.8384380915006 128.60080337003507 -1.1242173382244394
123,303099.63412475586,600.017613604196 129.96622085050382 -1.1347153850994394
124,188188.62950134277,603.8033488703093 131.03351973966397 -1.1348832317791269
125,199456.09843444824,607.9396853327116 131.62855147794522 -1.1353486248455331
126,163238.34790039062,611.256327276071 132.41340255216397 -1.1353333660564706
127,213577.8133239746,615.5397432062468 133.68607711271085 -1.1353715130291269
128,216359.4256591797,619.8686837335906 135.01683425382413 -1.1354783245525644
129,323434.66633605957,626.5916824884735 135.9120902963046 -1.1356995769939706
130,224793.83200073242,631.0927726740204 137.28116225675382 -1.1358521648845956
131,269697.6884613037,636.639700261911 138.2849922128085 -1.1368134685955331
