iteration,error,currentInitImpulse
0,1893.1936815977097,9.76461359211918 -26.747453185946217 -0.1302635635114308
1,2010.2935965061188,10.730333876379767 -24.072707867351596 -0.15596180669650078
2,2149.40161716938,11.791563896753726 -21.665437080616435 -0.19621164870183155
3,2300.458894610405,12.957749566142668 -19.498893372554793 -0.2352920131220397
4,2477.349331140518,14.23927099823418 -17.549004035299312 -0.28206648897805137
5,2677.698036789894,15.647534899959538 -15.794103631769381 -0.3344333856989087
6,2898.494961619377,17.195076101565537 -14.214693268592443 -0.3935403639080582
7,3145.067019224167,18.89566912801037 -12.7932239417332 -0.45588467808038174
8,3426.8121089935303,20.764450804770593 -11.513901547559879 -0.5217219892499615
9,3735.096286177635,22.818054989362402 -10.36251139280389 -0.5890641853414902
10,4074.7123255729675,25.074760627810342 -9.3262602535235 -0.6572812974641713
11,4456.773052096367,27.554654453900785 -8.39363422817115 -0.7254779695736906
12,4872.404830574989,30.27980977939157 -7.554270805354035 -0.7941342741182594
13,5334.413969159126,33.274482966573395 -6.7988437248186315 -0.8643912795956286
14,5844.52495265007,36.56532933196751 -6.118959352336768 -0.9354007795271925
15,6409.20882165432,40.181640402899106 -5.507063417103091 -1.0078479394119584
16,7025.915048599243,44.15560463874583 -4.956357075392782 -1.0806440252554899
17,7708.228650689125,48.52259393751779 -4.4607213678535045 -1.1554929983785227
18,8460.155783057213,53.32147847793831 -4.014649231068154 -1.2314199742211862
19,9286.286811828613,58.59497269940641 -3.6131843079613386 -1.308524909005706
20,10195.249478459358,64.3900154993777 -3.251865877165205 -1.3878039217305083
21,11194.157538414001,70.75818803226616 -2.9266792894486846 -1.4674184005614763
22,12296.850994944572,77.7561728286573 -2.6340113605038162 -1.548332497748935
23,13501.129498720169,85.4462583214115 -2.3706102244534346 -1.629978473886187
24,14832.224668383598,93.8968932693991 -2.133549202008091 -1.7133185177165833
25,16293.446983337402,103.18329601374266 -1.920194281807282 -1.7972096687869223
26,17901.945681095123,113.38812398950182 -1.7281748536265538 -1.8817326129171912
27,19666.49623131752,124.60220945206355 -1.5553573682638984 -2.0699058742089105
28,21608.883986473083,136.92536796687264 -1.3998216314375085 -2.2768964616298017
29,23740.86083495617,150.46728685879637 -1.2598394682937577 -2.504586107792782
30,26087.962941408157,165.34850152913134 -1.133855521464382 -2.7550447185720603
31,28663.153574943542,181.70146833036242 -1.0204699693179438 -3.0305491904292663
32,31498.444066405296,199.67174354823527 -0.9184229723861493 -3.317446135023711
33,34612.01055765152,219.41927898515573 -0.8184229723861494 -3.5861712828521024
