Time,Var1,Var2
0.0000,40.0000,9.0000
0.0100,39.9679,9.0270
0.0200,39.9356,9.0541
0.0300,39.9031,9.0812
0.0400,39.8705,9.1084
0.0500,39.8376,9.1356
0.0600,39.8046,9.1629
0.0700,39.7713,9.1903
0.0800,39.7379,9.2177
0.0900,39.7043,9.2451
0.1000,39.6705,9.2726
0.1100,39.6365,9.3001
0.1200,39.6023,9.3277
0.1300,39.5679,9.3553
0.1400,39.5334,9.3830
0.1500,39.4986,9.4108
0.1600,39.4637,9.4385
0.1700,39.4286,9.4664
0.1800,39.3933,9.4943
0.1900,39.3578,9.5222
0.2000,39.3221,9.5502
0.2100,39.2862,9.5782
0.2200,39.2501,9.6063
0.2300,39.2139,9.6344
0.2400,39.1774,9.6626
0.2500,39.1408,9.6908
0.2600,39.1040,9.7190
0.2700,39.0670,9.7474
0.2800,39.0298,9.7757
0.2900,38.9924,9.8041
0.3000,38.9549,9.8326
0.3100,38.9171,9.8611
0.3200,38.8792,9.8896
0.3300,38.8411,9.9182
0.3400,38.8028,9.9468
0.3500,38.7643,9.9755
0.3600,38.7256,10.0042
0.3700,38.6868,10.0329
0.3800,38.6478,10.0618
0.3900,38.6085,10.0906
0.4000,38.5691,10.1195
0.4100,38.5296,10.1484
0.4200,38.4898,10.1774
0.4300,38.4498,10.2064
0.4400,38.4097,10.2355
0.4500,38.3694,10.2646
0.4600,38.3289,10.2937
0.4700,38.2883,10.3229
0.4800,38.2474,10.3521
0.4900,38.2064,10.3814
0.5000,38.1652,10.4107
0.5100,38.1238,10.4400
0.5200,38.0822,10.4694
0.5300,38.0405,10.4988
0.5400,37.9985,10.5283
0.5500,37.9564,10.5578
0.5600,37.9142,10.5873
0.5700,37.8717,10.6169
0.5800,37.8291,10.6465
0.5900,37.7863,10.6761
0.6000,37.7433,10.7058
0.6100,37.7001,10.7355
0.6200,37.6568,10.7653
0.6300,37.6133,10.7951
0.6400,37.5696,10.8249
0.6500,37.5257,10.8548
0.6600,37.4817,10.8847
0.6700,37.4375,10.9146
0.6800,37.3931,10.9446
0.6900,37.3486,10.9746
0.7000,37.3039,11.0046
0.7100,37.2590,11.0347
0.7200,37.2139,11.0647
0.7300,37.1687,11.0949
0.7400,37.1233,11.1250
0.7500,37.0778,11.1552
0.7600,37.0320,11.1854
0.7700,36.9861,11.2157
0.7800,36.9401,11.2460
0.7900,36.8939,11.2763
0.8000,36.8475,11.3066
0.8100,36.8009,11.3370
0.8200,36.7542,11.3674
0.8300,36.7073,11.3978
0.8400,36.6602,11.4283
0.8500,36.6130,11.4588
0.8600,36.5656,11.4893
0.8700,36.5181,11.5198
0.8800,36.4704,11.5504
0.8900,36.4226,11.5810
0.9000,36.3745,11.6116
0.9100,36.3264,11.6422
0.9200,36.2780,11.6729
0.9300,36.2295,11.7036
0.9400,36.1809,11.7343
0.9500,36.1321,11.7650
0.9600,36.0831,11.7957
0.9700,36.0340,11.8265
0.9800,35.9847,11.8573
0.9900,35.9353,11.8881
1.0000,35.8857,11.9190
1.0100,35.8360,11.9499
1.0200,35.7861,11.9807
1.0300,35.7360,12.0116
1.0400,35.6858,12.0426
1.0500,35.6355,12.0735
1.0600,35.5850,12.1045
1.0700,35.5344,12.1354
1.0800,35.4836,12.1664
1.0900,35.4327,12.1975
1.1000,35.3816,12.2285
1.1100,35.3304,12.2595
1.1200,35.2790,12.2906
1.1300,35.2275,12.3217
1.1400,35.1758,12.3528
1.1500,35.1240,12.3839
1.1600,35.0721,12.4150
1.1700,35.0200,12.4461
1.1800,34.9678,12.4773
1.1900,34.9154,12.5084
1.2000,34.8629,12.5396
1.2100,34.8103,12.5708
1.2200,34.7575,12.6020
1.2300,34.7046,12.6332
1.2400,34.6515,12.6644
1.2500,34.5984,12.6956
1.2600,34.5450,12.7269
1.2700,34.4916,12.7581
1.2800,34.4380,12.7893
1.2900,34.3843,12.8206
1.3000,34.3304,12.8519
1.3100,34.2765,12.8831
1.3200,34.2224,12.9144
1.3300,34.1681,12.9457
1.3400,34.1138,12.9770
1.3500,34.0593,13.0083
1.3600,34.0047,13.0396
1.3700,33.9499,13.0709
1.3800,33.8951,13.1022
1.3900,33.8401,13.1335
1.4000,33.7850,13.1648
1.4100,33.7297,13.1961
1.4200,33.6744,13.2274
1.4300,33.6189,13.2588
1.4400,33.5633,13.2901
1.4500,33.5076,13.3214
1.4600,33.4518,13.3527
1.4700,33.3958,13.3840
1.4800,33.3398,13.4153
1.4900,33.2836,13.4466
1.5000,33.2273,13.4780
1.5100,33.1709,13.5093
1.5200,33.1144,13.5406
1.5300,33.0578,13.5719
1.5400,33.0011,13.6031
1.5500,32.9443,13.6344
1.5600,32.8873,13.6657
1.5700,32.8303,13.6970
1.5800,32.7731,13.7282
1.5900,32.7158,13.7595
