Name, x(km), y(km), z(km), vx(km/s), vy(km/s), vz(km/s), m(kg), hasRing
Sun,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.99E+30,0
Mercury,-5.67E+07,-3.23E+07,2.58E+06,1.39E+01,-4.03E+01,-4.57E+00,3.30E+23,0
Venus,-1.04E+08,-3.19E+07,5.55E+06,9.89E+00,-3.37E+01,-1.03E+00,4.87E+24,0
Earth,-1.47E+08,-2.97E+07,2.75E+04,5.31E+00,-2.93E+01,6.69E-04,5.97E+24,0
Moon,-1.47E+08,-2.95E+07,5.29E+04,4.53E+00,-2.86E+01,6.73E-02,7.35E+22,0
Mars,-2.15E+08,1.27E+08,7.94E+06,-1.15E+01,-1.87E+01,-1.11E-01,6.42E+23,0
Jupiter,5.54E+07,7.62E+08,-4.40E+06,-1.32E+01,1.29E+01,5.22E-02,1.90E+27,0
Saturn,1.42E+09,-1.91E+08,-5.33E+07,7.48E-01,9.55E+00,-1.96E-01,5.68E+26,1
Titan,1.42E+09,-1.92E+08,-5.28E+07,5.95E+00,7.68E+00,2.54E-01,1.35E+23,0
Uranus,1.62E+09,2.43E+09,-1.19E+07,-5.72E+00,3.45E+00,8.70E-02,8.68E+25,2
Neptune,4.47E+09,-5.31E+07,-1.02E+08,2.87E-02,5.47E+00,-1.13E-01,1.02E+26,0
